SN,Power (Kw),Power Consumption (MWH),Power Consumed (KWt/h),Absorbed Power (Kw),Power Consumption (Kw) Max,Power (rotary drive) Kw,Energy Consumption (kWh/t-clinker)
32,4056.10,358031.23,4062.84,4144.90,6518.09,602.03,1021.87
33,5822.15,325128.60,4986.20,4065.36,6749.29,693.17,1235.73
34,5953.36,362637.13,4135.35,4006.22,7370.30,657.03,1210.57
35,5010.71,369022.87,4102.46,4914.63,7815.66,548.30,1079.20
36,5180.38,360597.67,5618.01,4586.43,7233.49,695.90,1150.14
37,5176.40,380212.72,5316.84,4739.78,7763.14,580.62,1150.78
38,5455.74,443202.02,4094.38,4353.23,6873.74,749.56,1088.23
39,5167.86,438081.43,4598.77,3980.41,7811.13,678.71,1161.33
40,4919.15,369111.47,5547.48,5079.33,6805.31,588.98,1266.97
41,4783.04,368865.10,4162.72,4576.75,6843.65,756.31,1142.85
42,4056.10,358031.23,4062.84,4144.90,6518.09,602.03,1021.87
43,5822.15,325128.60,4986.20,4065.36,6749.29,693.17,1235.73
44,5953.36,362637.13,4135.35,4006.22,7370.30,657.03,1210.57
45,5010.71,369022.87,4102.46,4914.63,7815.66,548.30,1079.20
46,5180.38,360597.67,5618.01,4586.43,7233.49,695.90,1150.14
47,5176.40,380212.72,5316.84,4739.78,7763.14,580.62,1150.78
48,5455.74,443202.02,4094.38,4353.23,6873.74,749.56,1088.23
49,5167.86,438081.43,4598.77,3980.41,7811.13,678.71,1161.33
50,5300.45,420500.33,4700.25,4400.60,7200.10,625.40,1180.20
51,4900.38,375600.12,4500.35,4200.90,6950.75,600.30,1125.70
52,5150.67,390450.89,4800.22,4350.35,7100.25,645.80,1160.40
53,5600.90,430000.44,4950.15,4450.80,7250.35,655.60,1195.25
54,4800.22,365400.78,4350.80,4100.15,6800.55,580.10,1105.85
55,5025.70,382500.67,4600.30,4250.45,7000.90,615.25,1140.60
56,5400.15,410700.55,4850.20,4400.95,7300.60,665.45,1200.90
57,4950.30,370200.23,4550.50,4150.70,6900.80,595.50,1115.20
58,5250.78,400500.11,4750.40,4300.25,7150.15,635.75,1170.10
59,5700.45,440100.88,5050.10,4550.55,7400.45,675.80,1225.50
60,5100.35,385400.77,4650.25,4280.40,7050.10,625.90,1150.80
61,4850.28,372000.19,4400.55,4125.60,6850.70,585.65,1110.30
62,5300.90,415600.48,4900.70,4450.35,7350.80,670.20,1205.45
63,5500.10,425800.89,5000.45,4500.85,7500.20,680.75,1230.30
64,4700.20,360400.50,4200.30,4050.10,6700.45,570.85,1095.60
65,5200.50,395200.90,4700.90,4325.75,7200.65,640.10,1180.75
66,5600.25,432500.11,4950.35,4480.90,7450.95,670.80,1215.40
67,4950.85,375800.33,4550.20,4170.55,6950.45,600.45,1130.55
68,5350.40,412000.22,4850.90,4400.30,7300.85,660.30,1195.80
69,5750.90,445000.70,5100.50,4600.20,7550.35,690.10,1240.25
70,5000.45,380000.55,4600.15,4230.35,6980.10,610.50,1145.35
71,4705.30,362300.44,4280.80,4080.90,6750.60,575.20,1100.15
72,5450.75,418500.99,4950.20,4470.45,7400.90,675.10,1220.10
73,5550.25,430000.10,5020.85,4530.75,7650.40,690.45,1245.55
74,4600.30,355200.60,4100.50,4000.25,6600.15,560.25,1075.80
75,5150.80,392500.50,4750.75,4370.90,7250.20,645.35,1175.95
76,5800.45,455500.80,5150.35,4650.90,7700.25,700.50,1260.35
77,4900.60,370000.45,4500.55,4200.80,6880.55,595.10,1125.10
78,5280.95,405600.70,4800.20,4380.35,7180.85,655.40,1190.65
79,5650.90,437500.22,5050.85,4580.60,7480.95,685.75,1235.75
80,5050.10,382000.33,4650.80,4265.25,7055.45,620.30,1155.45
81,4780.55,368000.99,4400.25,4155.70,6825.60,590.10,1115.25
82,5355.75,414800.22,4905.35,4455.80,7385.45,670.50,1210.95
83,5520.45,428600.40,5000.25,4505.35,7605.75,685.90,1240.85
84,4655.80,358800.15,4150.55,4035.75,6655.45,565.45,1090.60
85,5250.90,398500.80,4780.95,4345.60,7280.85,650.75,1185.45
86,5780.35,452000.20,5125.75,4625.35,7690.55,695.35,1255.85
87,4955.70,374500.90,4555.20,4185.45,6925.60,605.20,1135.45
88,5400.20,420000.60,4925.90,4430.75,7430.40,680.10,1225.30
89,5705.60,442500.70,5080.45,4565.90,7530.85,688.25,1245.10
90,5105.30,388500.30,4685.40,4290.60,7095.35,625.90,1165.10
91,4820.90,365800.50,4425.60,4115.25,6785.90,585.75,1105.55
92,5380.75,416200.45,4880.55,4415.90,7360.75,675.80,1215.85
93,5580.50,432800.20,5035.25,4545.80,7645.10,690.60,1240.35
94,4720.30,363500.75,4300.75,4090.55,6735.40,580.40,1100.45
95,5305.25,409800.55,4825.85,4395.60,7325.90,660.90,1200.55
96,5760.70,449000.40,5105.50,4595.75,7705.60,700.20,1265.20
97,4980.55,379800.30,4595.40,4220.35,6950.80,615.80,1140.30
98,5455.35,423000.45,4965.75,4485.60,7475.35,685.90,1220.85
99,5685.90,439500.20,5060.10,4550.85,7510.50,690.40,1245.50
