SN,Kiln Temperature (°C),Fuel Consumption (kg/h),Raw Meal Composition (% Limestone),Clinker Production Rate (tons/h),Oxygen Levels (%),Kiln Pressure (bar),Air Flow Rate (m³/h),Fuel,CO2 Emissions (kg/h)
36,1343.31,223.06,86.03,95.47,4.12,14.51,2065.91,Gas,1021.62
37,1344.38,184.82,83.23,91.80,4.10,16.18,1808.18,Coal,973.45
38,1368.85,184.34,85.86,90.90,3.70,16.20,1883.45,Coal,964.30
39,1354.51,192.65,86.26,80.57,3.56,13.99,2073.07,Coal,863.49
40,1360.20,201.75,82.38,99.58,3.41,13.79,1750.94,Oil,1056.32
41,1357.28,193.38,83.70,91.27,3.83,13.71,1987.58,Gas,970.71
42,1366.72,193.39,85.14,83.92,3.94,14.36,2032.73,Oil,897.22
43,1348.60,199.24,82.75,95.15,3.44,14.01,2025.08,Coal,1011.27
44,1342.05,200.11,82.06,80.24,3.63,15.42,2219.44,Coal,862.43
45,1357.04,220.06,86.80,96.00,3.39,14.86,2069.37,Gas,1026.02
46,1343.31,223.06,86.03,95.47,4.12,14.51,2065.91,Gas,1021.62
47,1344.38,184.82,83.23,91.80,4.10,16.18,1808.18,Coal,973.45
48,1368.85,184.34,85.86,90.90,3.70,16.20,1883.45,Coal,964.30
49,1354.51,192.65,86.26,80.57,3.56,13.99,2073.07,Coal,863.49
50,1372.10,210.32,84.10,100.20,3.50,14.10,1805.50,Gas,1070.40
51,1355.22,195.67,83.50,92.75,3.75,13.90,1950.45,Oil,980.60
52,1368.40,205.80,85.45,85.40,3.88,14.55,2055.80,Coal,920.75
53,1345.60,198.90,82.95,97.10,3.42,14.20,2030.75,Gas,1035.20
54,1347.85,202.75,81.90,81.90,3.68,15.55,2200.30,Coal,875.90
55,1352.50,225.60,86.90,95.80,3.45,15.10,2080.75,Oil,1040.35
56,1341.85,220.40,85.90,93.95,4.15,14.60,2072.85,Gas,1030.80
57,1348.25,186.40,84.00,90.75,4.05,16.30,1810.40,Coal,970.20
58,1369.30,182.95,86.30,89.95,3.65,16.40,1890.10,Gas,955.45
59,1350.90,191.75,85.85,82.10,3.50,14.10,2085.65,Oil,880.75
60,1370.15,215.50,84.50,101.00,3.55,14.20,1785.30,Gas,1080.30
61,1353.35,196.95,83.20,94.10,3.80,13.85,1960.20,Coal,975.80
62,1372.60,207.45,85.30,86.00,3.92,14.60,2065.40,Oil,910.25
63,1346.75,200.85,83.10,96.30,3.40,14.05,2022.10,Gas,1020.75
64,1344.90,199.65,81.80,82.50,3.65,15.70,2215.50,Coal,880.30
65,1355.80,227.10,87.10,97.80,3.38,14.95,2090.80,Gas,1050.45
66,1342.40,222.35,85.60,94.80,4.10,14.50,2080.90,Oil,1025.85
67,1347.50,188.20,84.50,89.25,4.08,16.50,1825.80,Coal,965.50
68,1370.75,184.90,86.50,91.20,3.72,16.60,1905.40,Gas,960.80
69,1352.60,194.35,85.95,81.75,3.48,14.00,2095.60,Oil,885.90
70,1371.85,212.80,84.90,100.50,3.52,14.25,1800.90,Coal,1075.60
71,1354.10,197.10,83.35,95.10,3.78,13.75,1975.50,Gas,965.40
72,1373.45,206.90,85.50,87.40,3.89,14.75,2075.70,Oil,920.50
73,1347.25,201.35,83.25,95.75,3.39,14.15,2010.45,Gas,1030.20
74,1345.30,198.90,82.10,83.20,3.62,15.80,2230.80,Coal,885.70
75,1356.90,228.45,87.25,98.50,3.35,14.85,2105.60,Oil,1055.25
76,1343.05,224.10,85.80,95.30,4.08,14.45,2095.40,Gas,1020.90
77,1349.20,189.30,84.75,88.40,4.06,16.75,1835.60,Coal,970.35
78,1372.05,183.75,86.70,90.50,3.75,16.80,1920.30,Gas,965.25
79,1351.85,192.95,86.10,81.50,3.45,14.05,2105.80,Coal,890.60
80,1370.50,213.20,85.10,101.20,3.49,14.30,1790.25,Oil,1085.80
81,1355.50,196.20,83.50,94.40,3.77,13.80,1980.15,Gas,970.90
82,1373.80,208.15,85.65,88.10,3.85,14.80,2085.50,Coal,915.10
83,1348.40,199.85,83.40,95.50,3.37,14.10,2020.75,Oil,1025.65
84,1346.10,197.60,82.20,83.90,3.60,15.90,2240.50,Gas,890.50
85,1358.25,229.75,87.45,99.00,3.32,14.75,2120.35,Coal,1060.75
86,1344.50,225.85,85.95,94.95,4.05,14.35,2105.75,Oil,1015.40
87,1350.35,191.50,84.85,88.80,4.03,17.00,1850.80,Gas,975.90
88,1374.20,185.40,86.80,91.60,3.78,16.90,1935.50,Coal,970.40
89,1353.75,195.80,86.20,81.90,3.43,14.10,2110.25,Oil,895.30
90,1371.40,214.35,85.25,102.00,3.47,14.35,1805.75,Gas,1090.50
91,1356.25,195.75,83.60,94.75,3.75,13.85,1985.40,Coal,975.75
92,1375.15,209.90,85.80,88.80,3.82,14.90,2095.60,Oil,920.90
93,1349.00,200.45,83.55,95.90,3.35,14.05,2030.40,Gas,1020.40
94,1347.00,198.20,82.30,84.60,3.58,16.00,2250.10,Coal,895.20
95,1359.10,230.20,87.65,99.40,3.30,14.65,2135.20,Oil,1070.60
96,1345.20,226.70,86.10,95.50,4.00,14.25,2115.90,Gas,1025.10
97,1351.50,190.25,85.00,89.50,4.00,17.20,1860.60,Coal,980.50
98,1375.35,186.10,86.95,92.40,3.80,17.00,1950.30,Oil,975.00
99,1354.90,194.50,86.40,82.20,3.40,14.15,2120.75,Gas,900.20
